,APC,AIRPORT,,APC
,APE,AIRPORT,,APE
,APF,AIRPORT,,APF
,APG,AIRPORT,,APG
,APH,AIRPORT,,APH
,API,AIRPORT,,API
,APK,AIRPORT,,APK
,APL,AIRPORT,,APL
,APN,AIRPORT,,APN
,APO,AIRPORT,,APO
,APP,AIRPORT,,APP
,APQ,AIRPORT,,APQ
,APR,AIRPORT,,APR
,APS,AIRPORT,,APS
,APT,AIRPORT,,APT
,APU,AIRPORT,,APU
,APV,AIRPORT,,APV
,APW,AIRPORT,,APW
,APX,AIRPORT,,APX
,APY,AIRPORT,,APY
,APZ,AIRPORT,,APZ
,AQA,AIRPORT,,AQA
,AQB,AIRPORT,,AQB
,AQG,AIRPORT,,AQG
,AQI,AIRPORT,,AQI
,AQJ,AIRPORT,,AQJ
,AQM,AIRPORT,,AQM
,AQP,AIRPORT,,AQP
,AQS,AIRPORT,,AQS
,AQY,AIRPORT,,AQY
,ARA,AIRPORT,,ARA
,ARB,AIRPORT,,ARB
,ARC,AIRPORT,,ARC
,ARD,AIRPORT,,ARD
,ARE,AIRPORT,,ARE
,ARF,AIRPORT,,ARF
,ARG,AIRPORT,,ARG
,ARH,AIRPORT,,ARH
,ARI,AIRPORT,,ARI
,ARJ,AIRPORT,,ARJ
,ARK,AIRPORT,,ARK
,ARL,AIRPORT,,ARL
,ARM,AIRPORT,,ARM
,ARN,AIRPORT,,STO
,ARO,AIRPORT,,ARO
,ARP,AIRPORT,,ARP
,ARQ,AIRPORT,,ARQ
,ARR,AIRPORT,,ARR
,ARS,AIRPORT,,ARS
,ART,AIRPORT,,ART
,ARU,AIRPORT,,ARU
,ARV,AIRPORT,,ARV
,ARW,AIRPORT,,ARW
,ARX,AIRPORT,,ARX
,ARY,AIRPORT,,ARY
,ARZ,AIRPORT,,ARZ
,ASA,AIRPORT,,ASA
,ASB,AIRPORT,,ASB
,ASC,AIRPORT,,ASC
,ASD,AIRPORT,,ASD
,ASE,AIRPORT,,ASE
,ASF,AIRPORT,,ASF
,ASG,AIRPORT,,ASG
,ASH,AIRPORT,,ASH
,ASI,AIRPORT,,ASI
,ASJ,AIRPORT,,ASJ
,ASK,AIRPORT,,ASK
,ASL,AIRPORT,,ASL
,ASM,AIRPORT,,ASM
,ASN,AIRPORT,,ASN
,ASO,AIRPORT,,ASO
,ASP,AIRPORT,,ASP
,ASQ,AIRPORT,,ASQ
,ASR,AIRPORT,,ASR
,AST,AIRPORT,,AST
,ASU,AIRPORT,,ASU
,ASV,AIRPORT,,ASV
,ASW,AIRPORT,,ASW
,ASX,AIRPORT,,ASX
,ASY,AIRPORT,,ASY
,ASZ,AIRPORT,,ASZ
,ATA,AIRPORT,,ATA
,ATB,AIRPORT,,ATB
,ATC,AIRPORT,,ATC
,ATD,AIRPORT,,ATD
,ATE,AIRPORT,,ATE
,ATF,AIRPORT,,ATF
,ATG,AIRPORT,,ATG
,ATH,AIRPORT,,ATH
,ATI,AIRPORT,,ATI
,ATJ,AIRPORT,,ATJ
,ATK,AIRPORT,,ATK
,ATL,AIRPORT,,ATL
,ATM,AIRPORT,,ATM
,ATN,AIRPORT,,ATN
,ATO,AIRPORT,,ATO
,ATP,AIRPORT,,ATP
,ATQ,AIRPORT,,ATQ
,ATR,AIRPORT,,ATR
,ATS,AIRPORT,,ATS
,ATT,AIRPORT,,ATT
,ATU,AIRPORT,,ATU
,ATV,AIRPORT,,ATV
,ATW,AIRPORT,,ATW
,ATX,AIRPORT,,ATX
,ATY,AIRPORT,,ATY
,ATZ,AIRPORT,,ATZ
,AUA,AIRPORT,,AUA
,AUB,AIRPORT,,AUB
,AUC,AIRPORT,,AUC
,AUD,AIRPORT,,AUD
,AUE,AIRPORT,,AUE
,AUF,AIRPORT,,AUF
,AUG,AIRPORT,,AUG
,AUH,AIRPORT,,AUH
,AUI,AIRPORT,,AUI
,AUJ,AIRPORT,,AUJ
,AUK,AIRPORT,,AUK
,AUL,AIRPORT,,AUL
,AUM,AIRPORT,,AUM
,AUN,AIRPORT,,AUN
,AUO,AIRPORT,,AUO
,AUP,AIRPORT,,AUP
,AUQ,AIRPORT,,AUQ
,AUR,AIRPORT,,AUR
,AUS,AIRPORT,,AUS
,AUT,AIRPORT,,AUT
,AUU,AIRPORT,,AUU
,AUV,AIRPORT,,AUV
,AUW,AIRPORT,,AUW
,AUX,AIRPORT,,AUX
,AUY,AIRPORT,,AUY
,AUZ,AIRPORT,,AUZ
,AVA,AIRPORT,,AVA
,AVB,AIRPORT,,AVB
,AVG,AIRPORT,,AVG
,AVI,AIRPORT,,AVI
,AVK,AIRPORT,,AVK
,AVL,AIRPORT,,AVL
,AVN,AIRPORT,,AVN
,AVO,AIRPORT,,AVO
,AVP,AIRPORT,,AVP
,AVU,AIRPORT,,AVU
,AVV,AIRPORT,,MEL
,AVW,AIRPORT,,TUS
,AVX,AIRPORT,,AVX
,AWA,AIRPORT,,AWA
,AWB,AIRPORT,,AWB
,AWD,AIRPORT,,AWD
,AWE,AIRPORT,,AWE
,AWK,AIRPORT,,AWK
,AWM,AIRPORT,,AWM
,AWN,AIRPORT,,AWN
,AWP,AIRPORT,,AWP
,AWR,AIRPORT,,AWR
,AWZ,AIRPORT,,AWZ
,AXA,AIRPORT,,AXA
,AXB,AIRPORT,,AXB
,AXC,AIRPORT,,AXC
,AXD,AIRPORT,,AXD
,AXE,AIRPORT,,AXE
,AXG,AIRPORT,,AXG
,AXK,AIRPORT,,AXK
,AXL,AIRPORT,,AXL
,AXM,AIRPORT,,AXM
,AXN,AIRPORT,,AXN
,AXP,AIRPORT,,AXP
,AXR,AIRPORT,,AXR
,AXS,AIRPORT,,LTS
,AXT,AIRPORT,,AXT
,AXU,AIRPORT,,AXU
,AXV,AIRPORT,,AXV
,AXX,AIRPORT,,AXX
,AYA,AIRPORT,,AYA
,AYC,AIRPORT,,AYC
,AYD,AIRPORT,,AYD
,AYE,AIRPORT,,AYE
,AYG,AIRPORT,,AYG
,AYI,AIRPORT,,AYI
,AYK,AIRPORT,,AYK
,AYL,AIRPORT,,AYL
,AYN,AIRPORT,,AYN
,AYO,AIRPORT,,AYO
,AYP,AIRPORT,,AYP
,AYQ,AIRPORT,,AYQ
,AYR,AIRPORT,,AYR
,AYS,AIRPORT,,AYS
,AYT,AIRPORT,,AYT
,AYU,AIRPORT,,AYU
,AYW,AIRPORT,,AYW
,AYY,AIRPORT,,AYY
,AYZ,AIRPORT,,AYZ
